decimalLatitude,decimalLongitude,UI,Birds,Visitors,Azimut_t,Temperature,Dureza,Wrack,Grain_size,Salinity,slope,Beach_width,Swash,S_total,pH,campaign,month,locality,site,zone
21.1675,-90.03058,0.54,0,48,-14,28.266666666666666,290,64.3,0.41785412160892704,9.666666666666666,1.2,34.8,3.94,2.3,7.61,2,Apr,Sisal,2,Dry
21.167659,-90.03032,0.54,8,27,-14,30.2,276.6666666666667,157.79999999999998,0.395290185731519,10.666666666666666,2,50,3.3499999999999996,2.1,7.45,3,Aug,Sisal,2,Dry
21.1675,-90.03019,0.54,17,5,-14,,,267.1333333333333,0.425376407800875,23,0.9,30.2,5.7700000000000005,2.4,,1,Nov,Sisal,2,Dry
21.1675,-90.03058,0.54,0,48,-14,28.633333333333333,136.66666666666666,64.3,0.41544281720874,38.333333333333336,3.5,34.8,3.94,2.3,7.496666666666666,2,Apr,Sisal,2,Wet
21.167659,-90.03032,0.54,8,27,-14,29.6,83.33333333333333,157.79999999999998,0.47174629986292,35.333333333333336,3.5,50,3.3499999999999996,2.1,7.723333333333334,3,Aug,Sisal,2,Wet
21.1675,-90.03019,0.54,17,5,-14,,,267.1333333333333,0.328801335176717,23,5.1,30.2,5.7700000000000005,2.4,,1,Nov,Sisal,2,Wet
21.169833,-90.01836,0.2,0,17,-20,29.96666666666667,176.66666666666666,89.3,0.331770003827105,12,10.6,12,2.81,7.9,7.52,2,Apr,Sisal,3,Dry
21.169983,-90.01832,0.2,0,0,-20,32.4,220,256.7,0.48765727115637597,8.666666666666666,8.1,16.6,2.85,6.9,7.506666666666667,3,Aug,Sisal,3,Dry
21.169916,-90.01808,0.2,0,0,-20,,,126.63333333333334,0.369149060128038,16,6.1,13,5.449999999999999,7.4,,1,Nov,Sisal,3,Dry
21.169833,-90.01836,0.2,0,17,-20,30.466666666666665,130,89.3,0.374669164716556,39.333333333333336,4,12,2.81,7.9,7.4366666666666665,2,Apr,Sisal,3,Wet
21.169983,-90.01832,0.2,0,0,-20,34.1,176.66666666666666,256.7,0.508957821037766,34.666666666666664,4.8,16.6,2.85,6.9,7.233333333333333,3,Aug,Sisal,3,Wet
21.169916,-90.01808,0.2,0,0,-20,,,126.63333333333334,0.409695289820668,16,7.2,13,5.449999999999999,7.4,,1,Nov,Sisal,3,Wet
21.175694,-89.99786,0.09,2,0,-16,28.5,210,150.5,0.343791757309253,13.666666666666666,3.9,11,2.15,6.9,7.46,2,Apr,Sisal,4,Dry
21.175668,-89.99782,0.09,0,0,-16,30.966666666666665,276.6666666666667,422.7,0.47097762973269,13,8.3,14.4,2.9000000000000004,7.8,7.363333333333333,3,Aug,Sisal,4,Dry
21.175583,-89.99797,0.09,0,0,-16,,,120.95000000000002,0.34868184223606197,19,3.8,13.8,5.83,5.5,,1,Nov,Sisal,4,Dry
21.175694,-89.99786,0.09,2,0,-16,30.066666666666666,126.66666666666667,150.5,0.261216698240699,40,9.7,11,2.15,6.9,7.94,2,Apr,Sisal,4,Wet
21.175668,-89.99782,0.09,0,0,-16,32.833333333333336,190,422.7,0.580968615293446,35.333333333333336,8.3,14.4,2.9000000000000004,7.8,7.42,3,Aug,Sisal,4,Wet
21.175583,-89.99797,0.09,0,0,-16,,,120.95000000000002,0.311589231147529,19,5.5,13.8,5.83,5.5,,1,Nov,Sisal,4,Wet
21.282444,-89.68836,0.57,35,3,-13,29.4,213.33333333333334,305,0.1462137424995,26,2.3,30.4,5.68,2.1,6.723333333333334,2,Apr,Progreso,1,Dry
21.282498,-89.68814,0.57,5,4,-13,28.1,246.66666666666666,123.5,0.21015072983480498,15,2.7,23.9,1.2999999999999998,2.8,7.113333333333333,3,Aug,Progreso,1,Dry
21.282194,-89.68908,0.57,0,5,-13,,,1631.65,0.18777770389985202,35,6.1,24.3,11.38,3.4,,1,Nov,Progreso,1,Dry
21.282444,-89.68836,0.57,35,3,-13,29.3,100,305,0.16567224772724298,37.333333333333336,2.7,30.4,5.68,2.1,7.07,2,Apr,Progreso,1,Wet
21.282498,-89.68814,0.57,5,4,-13,27.7,143.33333333333334,123.5,0.440105630443118,38,3.9,23.9,1.2999999999999998,2.8,7.573333333333333,3,Aug,Progreso,1,Wet
21.282194,-89.68908,0.57,0,5,-13,,,1631.65,0.182390913500178,35,1.4,24.3,11.38,3.4,,1,Nov,Progreso,1,Wet
21.288916,-89.65814,0.69,2,73,-3,30.566666666666666,293.3333333333333,43.00000000000001,0.267658640651903,23.666666666666668,1.3,44.5,3.9700000000000006,1.6,7.17,2,Apr,Progreso,2,Dry
21.28895,-89.65793,0.69,1,11,-3,29.766666666666666,280,91.1,0.318580555636324,20.333333333333332,1.2,41.6,2.5500000000000003,1.9,7.496666666666667,3,Aug,Progreso,2,Dry
21.288916,-89.658,0.69,3,12,-3,,,163.18333333333334,0.353761042494261,35,0.5,43.5,5.91,1.9,,1,Nov,Progreso,2,Dry
21.288916,-89.65814,0.69,2,73,-3,30.7,186.66666666666666,43.00000000000001,0.295530191155322,40.333333333333336,2.6,44.5,3.9700000000000006,1.6,8.04,2,Apr,Progreso,2,Wet
21.28895,-89.65793,0.69,1,11,-3,29.9,215,91.1,0.504503493141926,38.333333333333336,4.2,41.6,2.5500000000000003,1.9,7.76,3,Aug,Progreso,2,Wet
