muestra,PAN,#325,#270,#230,#200,#170,#140,#120,#100,#80,#70,#60,#50,#45,#40,#35,#30,#25,#20,#18,#16,#14,#12,#10,#8,#7,> #6,localidad,muestreo,sitio,zona
Sisal 21-04-1SGran.xle,0.01,0.01,0.01,0.04,0.14,0.43,1.22,3.14,5.67,7.17,7.93,8.93,8.27,9.23,9.28,11.14,9.35,7.47,4.44,2.86,1.47,0.99,0.43,0.19,0.05,0.09,0.04,Sisal,21-04,1,S
Sisal 21-04-2DGran.xle,0.01,0.01,0.01,0.02,0.06,0.16,0.50,1.52,3.42,5.65,7.62,10.36,10.30,10.68,8.83,8.78,7.07,6.24,4.08,3.60,2.87,2.00,1.14,1.02,0.68,0.89,2.48,Sisal,21-04,2,D
Sisal 21-04-2SGran.xle,0.01,0.00,0.01,0.01,0.04,0.09,0.26,0.81,2.01,3.82,6.17,10.44,12.54,14.73,11.90,9.91,6.32,4.89,3.40,2.83,2.19,2.31,1.56,1.13,0.69,0.69,1.24,Sisal,21-04,2,S
Sisal 21-04-3DGran.xle,0.01,0.00,0.01,0.02,0.04,0.13,0.45,1.45,3.60,6.60,10.75,16.51,16.54,15.97,10.68,7.62,4.20,2.70,1.21,0.82,0.40,0.22,0.05,0.02,0.00,0.00,0.00,Sisal,21-04,3,D
Sisal 21-04-3SGran.xle,0.01,0.00,0.01,0.02,0.05,0.18,0.58,1.82,4.18,6.59,9.16,12.01,11.44,11.90,10.49,9.54,7.40,5.48,3.48,2.44,1.42,0.96,0.45,0.25,0.10,0.04,0.00,Sisal,21-04,3,S
Sisal 21-04-4DGran.xle,0.01,0.00,0.02,0.05,0.18,0.51,1.33,3.03,5.44,7.72,9.60,12.36,11.70,11.63,9.27,9.00,6.68,4.69,2.71,2.14,0.98,0.60,0.25,0.05,0.05,0.00,0.00,Sisal,21-04,4,D
Sisal 21-04-4SGran.xle,0.01,0.01,0.01,0.04,0.16,0.56,1.72,4.78,9.54,13.68,15.35,16.25,11.50,8.35,5.24,4.20,2.73,1.90,1.24,0.93,0.64,0.52,0.32,0.26,0.04,0.02,0.00,Sisal,21-04,4,S
Sisal 21-08-1DGran.xle,0.01,0.00,0.01,0.02,0.05,0.16,0.47,1.30,2.78,4.38,6.47,9.51,10.26,11.23,9.83,10.37,7.57,6.16,4.58,3.82,3.82,3.56,2.35,1.14,0.15,0.00,0.00,Sisal,21-08,1,D
Sisal 21-08-1SGran.xle,0.01,0.01,0.02,0.06,0.22,0.64,1.69,3.63,5.31,5.74,5.78,6.69,6.49,7.80,8.09,9.77,8.53,8.15,6.52,5.94,3.81,2.88,1.44,0.65,0.13,0.00,0.00,Sisal,21-08,1,S
Sisal 21-08-2DGran.xle,0.01,0.01,0.01,0.03,0.05,0.12,0.35,1.06,2.72,5.08,8.19,12.40,12.31,11.87,8.50,7.56,6.10,5.00,4.16,3.98,3.27,3.22,2.25,1.43,0.30,0.02,0.00,Sisal,21-08,2,D
