muestra,PAN,#325,#270,#230,#200,#170,#140,#120,#100,#80,#70,#60,#50,#45,#40,#35,#30,#25,#20,#18,#16,#14,#12,#10,#8,#7,> #6,localidad,muestreo,sitio,zona
Dzilam 21-04-2DGran.xle,0.14,0.05,0.06,0.09,0.23,0.64,1.86,4.63,7.44,8.04,8.07,8.77,7.69,8.62,7.66,7.75,6.04,5.32,3.48,3.20,1.91,1.54,0.89,0.92,0.90,0.61,3.45,Dzilam,21-04,2,D
Dzilam 21-04-2SGran.xle,0.04,0.02,0.04,0.08,0.19,0.58,1.74,4.47,7.37,7.91,8.25,8.93,7.79,8.04,7.03,7.37,6.18,5.81,4.44,3.81,2.77,2.24,1.43,0.93,0.76,0.56,1.22,Dzilam,21-04,2,S
Dzilam 21-04-3DGran.xle,0.02,0.01,0.02,0.03,0.08,0.17,0.44,1.14,2.40,3.81,5.81,8.70,9.80,12.36,11.95,12.72,9.52,7.66,4.98,3.32,2.04,1.47,0.84,0.41,0.27,0.03,0.00,Dzilam,21-04,3,D
Dzilam 21-04-3SGran.xle,0.02,0.01,0.01,0.03,0.06,0.10,0.23,0.58,1.11,1.55,2.32,3.37,3.70,5.09,6.10,8.86,8.58,9.77,8.67,8.79,7.50,7.42,4.93,3.48,2.69,1.55,3.48,Dzilam,21-04,3,S
Dzilam 21-04-4DGran.xle,0.03,0.03,0.04,0.12,0.19,0.36,0.73,1.46,2.52,3.73,5.18,7.73,8.64,9.96,9.13,9.21,7.31,6.14,4.23,3.68,2.72,2.73,1.56,1.78,1.89,1.79,7.11,Dzilam,21-04,4,D
Dzilam 21-04-4SGran.xle,0.02,0.01,0.04,0.06,0.15,0.32,0.64,1.30,2.32,3.55,4.85,7.33,7.94,9.28,8.70,8.98,7.24,6.94,4.99,4.90,4.16,4.33,2.71,2.00,1.41,1.13,4.70,Dzilam,21-04,4,S
Dzilam 21-08-1DGran.xle,0.02,0.01,0.01,0.03,0.08,0.23,0.78,2.63,5.75,7.72,8.88,10.76,10.41,11.65,10.76,10.88,7.24,5.08,2.95,2.05,0.99,0.58,0.28,0.15,0.02,0.00,0.06,Dzilam,21-08,1,D
Dzilam 21-08-1SGran.xle,0.12,0.07,0.10,0.14,0.19,0.36,1.05,2.88,4.95,4.87,4.80,4.98,4.48,5.36,5.03,6.95,6.84,8.03,8.33,8.95,7.05,5.25,3.08,1.99,1.21,0.74,2.20,Dzilam,21-08,1,S
Dzilam 21-08-2DGran.xle,0.03,0.02,0.02,0.05,0.10,0.26,0.74,2.12,4.22,5.77,7.25,9.37,9.23,9.89,8.94,8.24,6.99,5.62,3.87,3.04,2.26,2.02,1.52,1.02,1.22,1.16,5.03,Dzilam,21-08,2,D
Dzilam 21-08-2SGran.xle,1.79,0.54,0.26,0.13,0.29,0.81,2.02,4.92,7.81,8.18,7.61,7.58,6.21,6.10,5.63,6.06,4.90,4.91,4.79,6.29,3.58,2.68,1.53,1.09,1.45,1.11,1.73,Dzilam,21-08,2,S
Dzilam 21-08-3DGran.xle,0.01,0.01,0.02,0.03,0.04,0.11,0.23,0.41,0.79,1.24,2.07,3.59,4.88,7.04,8.38,11.00,10.27,10.91,8.23,6.73,5.59,4.96,3.20,2.14,1.89,1.48,4.75,Dzilam,21-08,3,D
Dzilam 21-08-3SGran.xle,0.03,0.02,0.05,0.09,0.25,0.53,1.07,1.94,2.79,3.26,3.43,4.04,3.75,4.35,4.37,6.08,7.37,9.02,7.99,8.21,7.48,7.53,4.85,3.02,1.65,1.68,5.15,Dzilam,21-08,3,S
Dzilam 21-08-4DGran.xle,1.22,0.43,0.24,0.13,0.19,0.30,0.58,1.10,1.87,2.81,3.78,5.77,6.91,8.84,8.91,10.79,9.11,8.62,6.12,5.34,3.90,3.51,2.02,1.56,1.64,2.09,2.22,Dzilam,21-08,4,D
Dzilam 21-08-4SGran.xle,0.05,0.07,0.13,0.26,0.62,1.13,1.89,2.99,4.01,5.05,5.13,6.24,5.67,5.92,5.55,6.66,6.61,7.50,6.53,5.61,4.86,4.52,2.64,1.87,1.27,1.27,5.95,Dzilam,21-08,4,S
ElCuyo 20-11-1DGran.xle,0.01,0.01,0.01,0.02,0.02,0.05,0.09,0.22,0.55,1.11,2.13,4.31,6.51,9.44,10.48,12.08,10.46,9.01,6.34,4.99,3.90,3.33,2.35,1.59,1.54,1.38,8.07,ElCuyo,20-11,1,D
ElCuyo 20-11-1SGran.xle,0.05,0.01,0.02,0.03,0.04,0.08,0.20,0.46,0.91,1.48,2.31,4.22,6.16,9.29,10.15,12.40,10.90,10.12,7.68,7.07,4.92,4.36,2.33,2.01,1.43,0.93,0.44,ElCuyo,20-11,1,S
ElCuyo 20-11-2DGran.xle,2.93,0.77,0.27,0.06,0.04,0.08,0.17,0.44,2.37,1.52,1.82,2.72,3.70,5.60,6.70,9.47,9.87,10.28,7.99,7.58,6.06,4.61,2.42,2.36,1.71,1.90,6.56,ElCuyo,20-11,2,D
ElCuyo 20-11-2SGran.xle,0.02,0.02,0.02,0.07,0.13,0.21,0.53,1.27,2.29,3.00,3.73,5.47,6.29,8.35,8.46,9.79,8.85,7.78,6.17,5.59,3.98,3.70,2.14,1.87,1.69,2.12,6.46,ElCuyo,20-11,2,S
ElCuyo 20-11-3DGran.xle,0.02,0.00,0.02,0.02,0.05,0.09,0.23,0.64,1.50,2.68,4.59,8.53,11.44,14.08,12.09,10.13,6.76,5.03,3.31,2.63,2.45,2.32,1.74,1.60,1.37,1.66,5.02,ElCuyo,20-11,3,D
ElCuyo 20-11-3SGran.xle,0.01,0.01,0.02,0.04,0.08,0.20,0.55,1.43,2.80,4.07,5.37,7.87,8.76,10.64,9.20,8.96,6.95,5.75,4.04,3.38,3.04,2.36,1.48,1.36,1.64,1.36,8.63,ElCuyo,20-11,3,S
ElCuyo 20-11-4DGran.xle,0.02,0.01,0.01,0.03,0.05,0.14,0.31,1.05,2.64,4.52,7.11,11.16,11.48,10.94,7.51,6.21,4.25,3.72,2.89,2.66,1.77,2.06,1.35,1.14,1.29,1.98,13.70,ElCuyo,20-11,4,D
ElCuyo 20-11-4SGran.xle,0.01,0.01,0.01,0.03,0.07,0.19,0.49,1.37,3.05,5.62,8.30,13.54,14.59,14.74,10.32,8.54,5.67,4.40,2.81,2.18,1.40,1.05,0.55,0.51,0.31,0.17,0.07,ElCuyo,20-11,4,S
ElCuyo 21-04-1DGran.xle,0.01,0.01,0.03,0.05,0.16,0.42,1.08,2.56,4.24,5.16,5.74,7.29,7.76,9.34,9.41,10.80,9.78,8.77,5.91,4.37,2.58,2.22,0.99,0.56,0.35,0.29,0.12,ElCuyo,21-04,1,D
ElCuyo 21-04-1SGran.xle,0.02,0.01,0.03,0.08,0.33,0.97,2.52,5.59,8.29,8.41,8.20,8.56,7.24,7.22,6.30,6.88,5.98,5.75,4.68,3.68,2.73,2.25,1.28,0.69,0.58,0.44,1.29,ElCuyo,21-04,1,S
ElCuyo 21-04-2DGran.xle,0.18,0.02,0.02,0.04,0.05,0.15,0.30,0.58,1.08,1.63,2.39,4.36,6.05,8.63,8.78,10.31,9.13,7.85,6.30,5.61,4.39,3.75,2.33,2.07,2.36,2.29,9.35,ElCuyo,21-04,2,D
ElCuyo 21-04-2SGran.xle,0.77,0.33,0.25,0.21,0.39,0.87,2.05,4.25,5.95,5.79,5.59,6.04,5.58,6.22,6.28,7.78,7.08,7.07,5.99,5.76,4.57,3.37,2.41,1.64,0.82,0.79,2.15,ElCuyo,21-04,2,S
ElCuyo 21-04-3DGran.xle,0.04,0.03,0.05,0.08,0.22,0.56,1.59,4.03,6.77,7.89,8.56,10.34,9.37,9.68,7.37,7.15,4.78,4.18,2.88,2.63,1.92,1.47,0.90,0.92,0.78,0.89,4.92,ElCuyo,21-04,3,D
ElCuyo 21-04-3SGran.xle,0.08,0.05,0.08,0.15,0.34,0.70,1.56,3.53,5.44,5.22,5.95,6.87,6.98,8.70,14.59,7.49,6.31,5.58,4.47,3.87,3.09,2.42,1.35,1.44,1.12,1.20,1.42,ElCuyo,21-04,3,S
ElCuyo 21-04-4DGran.xle,3.38,0.47,0.17,0.14,0.30,0.80,2.04,4.42,6.77,7.71,8.22,9.90,8.84,8.67,6.73,6.15,4.38,3.86,3.33,2.48,1.97,1.44,0.90,0.78,0.90,0.81,4.44,ElCuyo,21-04,4,D
ElCuyo 21-04-4SGran.xle,0.03,0.01,0.06,0.14,0.59,1.48,2.76,4.68,5.78,5.19,5.54,6.44,6.69,8.30,8.05,9.08,7.31,6.49,5.28,3.90,2.58,2.28,1.51,1.05,0.98,0.78,3.02,ElCuyo,21-04,4,S
ElCuyo 21-08-1DGran.xle,0.03,0.01,0.03,0.05,0.16,0.48,0.53,0.45,0.86,1.32,2.12,3.75,5.24,7.83,8.52,10.25,8.91,8.16,6.35,6.03,4.53,4.27,3.27,2.58,2.45,2.19,9.63,ElCuyo,21-08,1,D
ElCuyo 21-08-1SGran.xle,0.15,0.13,0.38,0.51,0.50,0.79,1.88,3.88,5.47,5.40,5.40,6.22,6.46,7.34,7.63,8.99,7.89,7.26,5.42,4.68,3.75,2.91,1.70,1.13,0.76,1.20,2.17,ElCuyo,21-08,1,S
ElCuyo 21-08-2DGran.xle,0.15,0.24,0.63,0.81,0.54,0.44,1.11,3.32,6.57,7.84,9.23,10.23,8.94,8.67,6.15,6.41,3.91,3.65,3.09,2.50,1.82,1.40,1.01,1.08,0.98,1.06,8.22,ElCuyo,21-08,2,D
ElCuyo 21-08-2SGran.xle,2.08,0.24,0.14,0.19,0.46,1.01,2.30,4.52,6.09,6.17,5.86,6.66,6.54,7.25,6.80,7.73,6.51,6.00,4.74,6.70,2.65,2.13,1.40,1.26,1.06,0.63,2.88,ElCuyo,21-08,2,S
ElCuyo 21-08-3DGran.xle,0.14,0.08,0.11,0.13,0.41,2.17,4.84,4.20,5.42,6.39,7.27,8.92,8.94,9.74,7.67,7.62,4.98,4.56,3.06,2.55,1.94,1.29,0.87,0.90,0.71,0.68,4.41,ElCuyo,21-08,3,D
ElCuyo 21-08-3SGran.xle,1.05,0.13,0.11,0.14,0.29,0.72,1.58,2.95,3.98,4.15,4.42,5.78,6.51,8.45,8.70,10.43,8.43,8.01,6.21,5.66,2.65,2.18,1.50,1.13,0.62,1.48,2.74,ElCuyo,21-08,3,S
ElCuyo 21-08-4DGran.xle,0.07,0.05,0.07,0.13,0.26,0.73,1.71,3.56,5.57,6.41,7.23,9.95,10.22,10.63,7.80,7.24,4.92,4.20,3.15,2.68,1.61,1.34,0.80,0.89,0.91,0.60,7.27,ElCuyo,21-08,4,D
ElCuyo 21-08-4SGran.xle,0.03,0.04,0.06,0.23,0.92,2.41,4.96,8.16,9.26,8.66,7.26,7.90,7.01,7.44,6.28,6.33,4.80,4.20,2.84,2.09,1.69,1.61,0.87,0.69,0.62,0.52,3.12,ElCuyo,21-08,4,S
Pro 20-11-1DGran.xle,0.05,0.02,0.06,0.20,0.90,3.07,8.12,15.55,17.39,13.42,9.24,6.88,4.33,3.79,3.01,2.94,2.42,2.26,1.53,1.30,1.11,0.93,0.67,0.34,0.29,0.14,0.04,Pro,20-11,1,D
Pro 20-11-1SGran.xle,0.10,0.07,0.18,0.54,1.87,4.65,9.58,15.20,15.69,12.08,9.03,7.08,4.60,3.41,2.48,2.04,1.42,1.30,0.95,0.91,0.84,0.97,0.73,0.65,0.53,0.47,2.63,Pro,20-11,1,S
Pro 20-11-2DGran.xle,0.03,0.02,0.02,0.08,0.16,0.54,1.71,4.31,7.28,8.95,9.28,9.85,7.80,7.08,5.55,5.38,5.07,4.64,3.42,2.80,2.61,2.23,1.63,1.23,0.90,1.34,6.09,Pro,20-11,2,D
Pro 20-11-2SGran.xle,0.04,0.01,0.03,0.06,0.10,0.26,0.75,2.14,4.19,5.76,12.84,14.98,7.37,7.78,6.33,7.01,5.52,4.84,4.00,3.50,2.37,2.23,1.77,1.28,1.46,0.69,2.69,Pro,20-11,2,S
Pro 20-11-3DGran.xle,0.02,0.01,0.01,0.03,0.06,0.09,0.17,0.35,0.75,1.44,2.52,4.61,5.75,8.17,8.02,9.54,9.06,9.72,7.80,7.21,5.03,4.52,2.87,2.24,2.36,1.81,5.84,Pro,20-11,3,D
Pro 20-11-3SGran.xle,0.56,1.22,2.26,2.49,0.78,0.15,0.15,0.43,1.11,2.05,3.53,6.05,7.86,10.09,9.92,11.34,8.30,7.52,5.66,4.29,2.97,2.59,1.76,1.38,1.00,1.13,3.41,Pro,20-11,3,S
Pro 20-11-4DGran.xle,0.01,0.01,0.01,0.02,0.03,0.06,0.13,0.30,0.88,2.36,5.09,10.18,11.98,12.74,10.37,9.31,6.83,5.77,3.80,3.19,2.44,2.12,1.35,1.53,1.61,1.89,5.99,Pro,20-11,4,D
Pro 20-11-4SGran.xle,0.01,0.00,0.01,0.02,0.04,0.07,0.13,0.34,1.00,2.55,4.86,9.14,10.19,11.12,9.41,8.71,7.49,6.42,4.74,4.33,3.24,3.25,2.02,1.42,1.80,1.18,6.51,Pro,20-11,4,S
Pro 21-04-1DGran.xle,0.06,0.07,0.16,0.73,3.23,8.76,17.06,22.33,18.31,11.44,6.43,3.63,1.92,1.42,0.88,0.69,0.47,0.54,0.33,0.21,0.16,0.20,0.13,0.13,0.12,0.07,0.52,Pro,21-04,1,D
Pro 21-04-1SGran.xle,0.05,0.04,0.13,0.47,2.13,5.94,12.41,18.39,16.95,11.84,7.83,6.04,4.14,3.42,2.33,1.99,1.43,1.22,0.83,0.65,0.55,0.51,0.28,0.15,0.12,0.10,0.06,Pro,21-04,1,S
Pro 21-04-2DGran.xle,0.03,0.02,0.06,0.15,0.51,1.36,3.12,6.02,9.17,11.49,12.46,14.16,11.81,10.33,7.22,5.59,3.24,1.81,0.86,0.30,0.13,0.10,0.06,0.00,0.00,0.00,0.00,Pro,21-04,2,D
